Vrsta	Species_binomial	Genus	Statusi	BOLD_ITS2_status
Lathyrus setifolius L.	Lathyrus setifolius	Lathyrus		MATCHED
Lathyrus sphaericus Retz.	Lathyrus sphaericus	Lathyrus		MATCHED
Lathyrus sylvestris L.	Lathyrus sylvestris	Lathyrus		MATCHED
Lathyrus tuberosus L.	Lathyrus tuberosus	Lathyrus		MATCHED
Lathyrus venetus (Mill.) Wohlfahrt	Lathyrus venetus	Lathyrus		MATCHED
Lathyrus vernus (L.) Bernh. [s.l.]	Lathyrus vernus	Lathyrus		MATCHED
Laurus nobilis L.	Laurus nobilis	Laurus	14	MATCHED
Lavandula angustifolia Mill.	Lavandula angustifolia	Lavandula		MATCHED
Leersia oryzoides (L.) Sw.	Leersia oryzoides	Leersia		MATCHED
Legousia hybrida (L.) Delarbre	Legousia hybrida	Legousia	14	MATCHED
Lejeunea cavifolia (Ehrh.) Lindb.	Lejeunea cavifolia	Lejeunea		MATCHED
Lemna minor L.	Lemna minor	Lemna		MATCHED
Lemna trisulca L.	Lemna trisulca	Lemna	13	MATCHED
Lens ervoides (Brign.) Grande	Lens ervoides	Lens		MATCHED
Lens nigricans (M. Bieb.) Godr.	Lens nigricans	Lens		MATCHED
Leontodon autumnalis L.	Leontodon autumnalis	Leontodon		MATCHED
Leontodon crispus Vill. [s.l.]	Leontodon crispus	Leontodon		MATCHED
Leontodon hispidus L. [s.l.]	Leontodon hispidus	Leontodon		MATCHED
Leontopodium alpinum Cass.	Leontopodium alpinum	Leontopodium	18, 25	MATCHED
Leonurus cardiaca L.	Leonurus cardiaca	Leonurus	12	MATCHED
Lepidium campestre (L.) R. Br.	Lepidium campestre	Lepidium		MATCHED
Lepidium graminifolium L.	Lepidium graminifolium	Lepidium		MATCHED
Lepidium perfoliatum L.	Lepidium perfoliatum	Lepidium		MATCHED
Lepidium ruderale L.	Lepidium ruderale	Lepidium		MATCHED
Lepidium sativum L.	Lepidium sativum	Lepidium		MATCHED
Lepidium virginicum L.	Lepidium virginicum	Lepidium		MATCHED
Lepidozia reptans (L.) Dumort.	Lepidozia reptans	Lepidozia		MATCHED
Leptobryum pyriforme (Hedw.) Wilson	Leptobryum pyriforme	Leptobryum		MATCHED
Leptodictyum riparium (Hedw.) Warnst.	Leptodictyum riparium	Leptodictyum		MATCHED
Leptodon smithii (Hedw.) F. Weber &amp; D. Mohr	Leptodon smithii	Leptodon		MATCHED
Lescuraea incurvata (Hedw.) E. Lawton	Lescuraea incurvata	Lescuraea		MATCHED
Lescuraea mutabilis (Brid.) I. Hagen	Lescuraea mutabilis	Lescuraea		MATCHED
Lescuraea patens (Lindb.) Arnell &amp; C. E. O. Jensen	Lescuraea patens	Lescuraea		MATCHED
Lescuraea radicosa (Mitt.) Mönk.	Lescuraea radicosa	Lescuraea	14	MATCHED
Lescuraea saxicola (Schimp.) Molendo	Lescuraea saxicola	Lescuraea		MATCHED
Leskea polycarpa Hedw.	Leskea polycarpa	Leskea		MATCHED
Leucanthemum maximum (Ramond) DC. [s.str.]	Leucanthemum maximum	Leucanthemum		MATCHED
Leucanthemum vulgare Lam.	Leucanthemum vulgare	Leucanthemum		MATCHED
Leucobryum glaucum (Hedw.) Ångstr.	Leucobryum glaucum	Leucobryum	9, 25, 27	MATCHED
Leucobryum juniperoideum (Brid.) Müll. Hal.	Leucobryum juniperoideum	Leucobryum	14	MATCHED
Leucodon sciuroides (Hedw.) Schwägr.	Leucodon sciuroides	Leucodon		MATCHED
Leucojum aestivum L.	Leucojum aestivum	Leucojum	13, 25	MATCHED
Levisticum officinale Koch	Levisticum officinale	Levisticum		MATCHED
Lewinskya affinis (Brid.) F. Lara, Garilleti &amp; Goffinet	Lewinskya affinis	Lewinskya		MATCHED
Lewinskya rupestris (Schwägr.) F. Lara, Garilleti &amp; Goffinet	Lewinskya rupestris	Lewinskya		MATCHED
Lewinskya speciosa (Nees) F. Lara, Garilleti &amp; Goffinet	Lewinskya speciosa	Lewinskya		MATCHED
Lewinskya striata (Hedw.) F. Lara, Garilleti &amp; Goffinet	Lewinskya striata	Lewinskya		MATCHED
Libanotis sibirica (L.) C. A. Mey. [s.l.]	Libanotis sibirica	Libanotis		MATCHED
Ligustrum japonicum Thunb.	Ligustrum japonicum	Ligustrum		MATCHED
Ligustrum lucidum W.T. Aiton	Ligustrum lucidum	Ligustrum		MATCHED
Ligustrum ovalifolium Hassk.	Ligustrum ovalifolium	Ligustrum		MATCHED
Ligustrum vulgare L.	Ligustrum vulgare	Ligustrum		MATCHED
Lilium bulbiferum L. [s.l.]	Lilium bulbiferum	Lilium	25	MATCHED
Lilium candidum L.	Lilium candidum	Lilium		MATCHED
Lilium carniolicum Bernh. ex Koch	Lilium carniolicum	Lilium	18, 25	MATCHED
Lilium martagon L.	Lilium martagon	Lilium	25	MATCHED
Limodorum abortivum (L.) Sw.	Limodorum abortivum	Limodorum	13, 25, 27	MATCHED
Limosella aquatica L.	Limosella aquatica	Limosella	12	MATCHED
Linaria alpina (L.) Mill.	Linaria alpina	Linaria		MATCHED
Linaria angustissima (Loisel.) Borbás ?	Linaria angustissima	Linaria	17	MATCHED
Linaria chalepensis (L.) Mill.	Linaria chalepensis	Linaria		MATCHED
Linaria vulgaris Mill.	Linaria vulgaris	Linaria		MATCHED
Lindernia dubia (L.) Pennell	Lindernia dubia	Lindernia		MATCHED
Lindernia procumbens (Krock.) Philcox	Lindernia procumbens	Lindernia	8, 13, 25, 34, 49, 51	MATCHED
Linnaea borealis L.	Linnaea borealis	Linnaea	12, 25, 27	MATCHED
Linum austriacum L. [s.str.]	Linum austriacum	Linum		MATCHED
Linum bienne Mill.	Linum bienne	Linum		MATCHED
Linum catharticum L.	Linum catharticum	Linum		MATCHED
Linum perenne L. [s.l.]	Linum perenne	Linum		MATCHED
Linum strictum L.	Linum strictum	Linum		MATCHED
Linum trigynum L.	Linum trigynum	Linum		MATCHED
Linum usitatissimum L.	Linum usitatissimum	Linum		MATCHED
Liochlaena lanceolata Nees	Liochlaena lanceolata	Liochlaena		MATCHED
Liparis loeselii (L.) Rich.	Liparis loeselii	Liparis	7, 8, 12, 25, 27, 34, 50, 51	MATCHED
Liquidambar styraciflua L.	Liquidambar styraciflua	Liquidambar		MATCHED
Liriodendron tulipifera L.	Liriodendron tulipifera	Liriodendron		MATCHED
Lithospermum officinale L.	Lithospermum officinale	Lithospermum		MATCHED
Lobelia erinus L.	Lobelia erinus	Lobelia		MATCHED
Lobularia maritima (L.) Desv.	Lobularia maritima	Lobularia	17	MATCHED
Loeskeobryum brevirostre (Brid.) M. Fleisch.	Loeskeobryum brevirostre	Loeskeobryum		MATCHED
Logfia minima (Sm.) Dumort.	Logfia minima	Logfia		MATCHED
Lolium multiflorum Lam.	Lolium multiflorum	Lolium		MATCHED
Lolium perenne L.	Lolium perenne	Lolium		MATCHED
Lolium rigidum Gaudin	Lolium rigidum	Lolium		MATCHED
Lolium temulentum L.	Lolium temulentum	Lolium	13	MATCHED
Lonicera alpigena L.	Lonicera alpigena	Lonicera		MATCHED
Lonicera caerulea L.	Lonicera caerulea	Lonicera		MATCHED
Lonicera caprifolium L.	Lonicera caprifolium	Lonicera		MATCHED
Lonicera etrusca Santi	Lonicera etrusca	Lonicera		MATCHED
Lonicera japonica Thunb.	Lonicera japonica	Lonicera		MATCHED
Lonicera maackii (Rupr.) Maxim.	Lonicera maackii	Lonicera		MATCHED
Lonicera nigra L.	Lonicera nigra	Lonicera		MATCHED
Lonicera nitida E. Wilson	Lonicera nitida	Lonicera		MATCHED
Lonicera tatarica L.	Lonicera tatarica	Lonicera		MATCHED
Lonicera xylosteum L.	Lonicera xylosteum	Lonicera		MATCHED
Lophocolea bidentata (L.) Dumort.	Lophocolea bidentata	Lophocolea		MATCHED
Lophocolea coadunata (Sw.) Mont.	Lophocolea coadunata	Lophocolea	13	MATCHED
Lophocolea heterophylla (Schrad.) Dumort.	Lophocolea heterophylla	Lophocolea		MATCHED
Lophocolea minor Nees	Lophocolea minor	Lophocolea		MATCHED
Lophozia ascendens (Warnst.) R.M. Schust.	Lophozia ascendens	Lophozia		MATCHED
Lophozia longiflora (Nees) Schiffn.	Lophozia longiflora	Lophozia	14	MATCHED
Lophozia ventricosa (Dicks.) Dumort.	Lophozia ventricosa	Lophozia		MATCHED
Lophoziopsis excisa (Dicks.) Konstant. &amp; Vilnet	Lophoziopsis excisa	Lophoziopsis	14	MATCHED
Lophoziopsis polaris (R. M. Schust.) Konstant. &amp; Vilnet	Lophoziopsis polaris	Lophoziopsis		MATCHED
Loranthus europaeus Jacq.	Loranthus europaeus	Loranthus		MATCHED
Lotus borbasii Ujhelyi	Lotus borbasii	Lotus		MATCHED
Lotus corniculatus L. [s.l.]	Lotus corniculatus	Lotus		MATCHED
Lotus tenuis Waldst. &amp; Kit. ex Willd.	Lotus tenuis	Lotus		MATCHED
Ludwigia palustris (L.) Elliott	Ludwigia palustris	Ludwigia	13	MATCHED
Lunaria annua L.	Lunaria annua	Lunaria		MATCHED
Lunaria rediviva L.	Lunaria rediviva	Lunaria		MATCHED
Lunularia cruciata (L.) Lindb.	Lunularia cruciata	Lunularia		MATCHED
Lupinus albus L.	Lupinus albus	Lupinus		MATCHED
Lupinus polyphyllus Lindl.	Lupinus polyphyllus	Lupinus		MATCHED
Luzula campestris (L.) DC. [s.str.]	Luzula campestris	Luzula		MATCHED
Luzula forsteri (Sm.) DC.	Luzula forsteri	Luzula		MATCHED
Luzula luzuloides (Lam.) Dandy &amp; Wilmott [s.l.]	Luzula luzuloides	Luzula		MATCHED
Luzula multiflora (Ehrh. ex Retz.) Lej.	Luzula multiflora	Luzula		MATCHED
Luzula pallescens Sw.	Luzula pallescens	Luzula	14	MATCHED
Luzula pilosa (L.) Willd.	Luzula pilosa	Luzula		MATCHED
Luzula spicata (L.) DC.	Luzula spicata	Luzula		MATCHED
Luzula sylvatica (Huds.) Gaudin [s.l.]	Luzula sylvatica	Luzula		MATCHED
Lycium barbarum L.	Lycium barbarum	Lycium		MATCHED
Lycium chinense Miller	Lycium chinense	Lycium		MATCHED
Lycopodiella inundata (L.) Holub	Lycopodiella inundata	Lycopodiella	9, 13, 25, 29	MATCHED
Lycopodium annotinum L.	Lycopodium annotinum	Lycopodium	9, 25, 29	MATCHED
Lycopodium clavatum L.	Lycopodium clavatum	Lycopodium	9, 25, 29	MATCHED
Lycopsis arvensis L.	Lycopsis arvensis	Lycopsis		MATCHED
Lycopus europaeus L. [s.l.]	Lycopus europaeus	Lycopus		MATCHED
Lycopus exaltatus Ehrh.	Lycopus exaltatus	Lycopus	13	MATCHED
Lysichiton americanus Hultén &amp; H.St.John	Lysichiton americanus	Lysichiton	5	MATCHED
Lysimachia nemorum L.	Lysimachia nemorum	Lysimachia		MATCHED
Lysimachia nummularia L.	Lysimachia nummularia	Lysimachia		MATCHED
Lysimachia punctata L.	Lysimachia punctata	Lysimachia		MATCHED
Lysimachia thyrsiflora L.	Lysimachia thyrsiflora	Lysimachia	17	MATCHED
Lysimachia vulgaris L.	Lysimachia vulgaris	Lysimachia		MATCHED
Lythrum hyssopifolia L.	Lythrum hyssopifolia	Lythrum	12	MATCHED
Lythrum salicaria L.	Lythrum salicaria	Lythrum		MATCHED
Maclura pomifera (Rafin.) C.K. Schneider	Maclura pomifera	Maclura		MATCHED
Mahonia aquifolium (Pursh) Nutt.	Mahonia aquifolium	Mahonia		MATCHED
Maianthemum bifolium (L.) F. W. Schmidt	Maianthemum bifolium	Maianthemum		MATCHED
Malaxis monophyllos (L.) Sw.	Malaxis monophyllos	Malaxis	13, 25, 27	MATCHED
Malus domestica Borkh.	Malus domestica	Malus		MATCHED
Malus sylvestris (L.) Mill.	Malus sylvestris	Malus		MATCHED
Malva alcea L.	Malva alcea	Malva		MATCHED
Malva moschata L.	Malva moschata	Malva		MATCHED
Malva neglecta Wallr.	Malva neglecta	Malva		MATCHED
Malva nicaeensis All.	Malva nicaeensis	Malva	17	MATCHED
Malva pusilla Sm.	Malva pusilla	Malva	14	MATCHED
Malva sylvestris L.	Malva sylvestris	Malva		MATCHED
Mannia gracilis (F. Weber) D.B. Schill &amp; D.G. Long	Mannia gracilis	Mannia	14	MATCHED
Mannia triandra (Scop.) Grolle.	Mannia triandra	Mannia	7, 25, 27, 34, 51	MATCHED
Marchantia polymorpha L.	Marchantia polymorpha	Marchantia		MATCHED
Marchantia quadrata Scop.	Marchantia quadrata	Marchantia		MATCHED
Marrubium vulgare L.	Marrubium vulgare	Marrubium		MATCHED
Marsupella apiculata Schiffn.	Marsupella apiculata	Marsupella		MATCHED
Marsupella emarginata (Ehrh.) Dumort.	Marsupella emarginata	Marsupella		MATCHED
Marsupella funckii (F. Weber &amp; D. Mohr) Dumort.	Marsupella funckii	Marsupella		MATCHED
Marsupella sprucei (Limpr.) Bernet	Marsupella sprucei	Marsupella	14	MATCHED
Matteuccia struthiopteris (L.) Tod.	Matteuccia struthiopteris	Matteuccia		MATCHED
Matthiola incana (L.) R. Br.	Matthiola incana	Matthiola		MATCHED
Medicago arabica (L.) Huds.	Medicago arabica	Medicago		MATCHED
Medicago falcata L.	Medicago falcata	Medicago		MATCHED
Medicago lupulina L.	Medicago lupulina	Medicago		MATCHED
Medicago minima (L.) L.	Medicago minima	Medicago		MATCHED
Medicago pironae Vis.	Medicago pironae	Medicago	14	MATCHED
Medicago polymorpha L.	Medicago polymorpha	Medicago		MATCHED
Medicago prostrata Jacq.	Medicago prostrata	Medicago		MATCHED
Medicago sativa L.	Medicago sativa	Medicago		MATCHED
Meesia longiseta Hedw.	Meesia longiseta	Meesia	7, 10, 25, 27, 34, 51	MATCHED
Meesia triquetra (Jolycl.) Ångstr.	Meesia triquetra	Meesia	12	MATCHED
Meesia uliginosa Hedw.	Meesia uliginosa	Meesia		MATCHED
Melampyrum carstiense (Ronniger) Fritsch	Melampyrum carstiense	Melampyrum		MATCHED
Melampyrum cristatum L. [s.l.]	Melampyrum cristatum	Melampyrum		MATCHED
Melampyrum nemorosum L. [s.l.]	Melampyrum nemorosum	Melampyrum		MATCHED
Melampyrum pratense L. [s.l.]	Melampyrum pratense	Melampyrum		MATCHED
Melampyrum sylvaticum L. [s.l.]	Melampyrum sylvaticum	Melampyrum		MATCHED
Melia azedarach L.	Melia azedarach	Melia		MATCHED
Melica ciliata L.	Melica ciliata	Melica		MATCHED
Melica nutans L.	Melica nutans	Melica		MATCHED
Melica uniflora Retz.	Melica uniflora	Melica		MATCHED
Melilotus albus Medik.	Melilotus albus	Melilotus		MATCHED
Melilotus altissimus Thuill.	Melilotus altissimus	Melilotus		MATCHED
Melilotus indicus (L.) All.	Melilotus indicus	Melilotus		MATCHED
Melilotus officinalis (L.) Lam.	Melilotus officinalis	Melilotus		MATCHED
Melissa officinalis L.	Melissa officinalis	Melissa		MATCHED
Melittis melissophyllum L.	Melittis melissophyllum	Melittis		MATCHED
Mentha aquatica L.	Mentha aquatica	Mentha		MATCHED
Mentha arvensis L. [s.l.]	Mentha arvensis	Mentha		MATCHED
Mentha longifolia (L.) Huds. [s.l.]	Mentha longifolia	Mentha		MATCHED
Mentha pulegium L.	Mentha pulegium	Mentha		MATCHED
Mentha spicata L.	Mentha spicata	Mentha		MATCHED
Mentha suaveolens Ehrh.	Mentha suaveolens	Mentha		MATCHED
Menyanthes trifoliata L.	Menyanthes trifoliata	Menyanthes	13	MATCHED
Mercurialis annua L.	Mercurialis annua	Mercurialis		MATCHED
Mercurialis ovata Sternb. &amp; Hoppe	Mercurialis ovata	Mercurialis		MATCHED
Mercurialis perennis L.	Mercurialis perennis	Mercurialis		MATCHED
Mesoptychia badensis (Rabenh.) L. Söderstr. &amp; Váňa	Mesoptychia badensis	Mesoptychia	14	MATCHED
Mesoptychia bantriensis (Hook.) L. Söderstr. &amp; Váňa	Mesoptychia bantriensis	Mesoptychia		MATCHED
Mesoptychia heterocolpos (Hartm.) L. Söderstr. &amp; Váňa	Mesoptychia heterocolpos	Mesoptychia		MATCHED
Mesoptychia turbinata (Raddi) L. Söderstr. &amp; Váňa	Mesoptychia turbinata	Mesoptychia		MATCHED
Metzgeria conjugata Lindb.	Metzgeria conjugata	Metzgeria		MATCHED
Metzgeria furcata (L.) Corda	Metzgeria furcata	Metzgeria		MATCHED
Metzgeria violacea (Ach.) Dumort.	Metzgeria violacea	Metzgeria		MATCHED
Meum athamanticum Jacq.	Meum athamanticum	Meum		MATCHED
Microbryum davallianum (Sm.) R. H. Zander	Microbryum davallianum	Microbryum	13	MATCHED
Microeurhynchium pumilum (Wilson) Ignatov &amp; Vanderp.	Microeurhynchium pumilum	Microeurhynchium		MATCHED
Microlejeunea ulicina (Taylor) Steph.	Microlejeunea ulicina	Microlejeunea		MATCHED
Mielichhoferia mielichhoferiana (Funck) Loeske	Mielichhoferia mielichhoferiana	Mielichhoferia	12	MATCHED
Milium effusum L.	Milium effusum	Milium		MATCHED
Minuartia austriaca (Jacq.) Hayek	Minuartia austriaca	Minuartia		MATCHED
Minuartia mediterranea (Ledeb.) Maly	Minuartia mediterranea	Minuartia	14	MATCHED
Minuartia rubra (Scop.) McNeill	Minuartia rubra	Minuartia	14	MATCHED
Mirabilis jalapa L.	Mirabilis jalapa	Mirabilis		MATCHED
Miscanthus sinensis Andersson	Miscanthus sinensis	Miscanthus		MATCHED
Misopates orontium (L.) Rafin.	Misopates orontium	Misopates		MATCHED
Mnium hornum Hedw.	Mnium hornum	Mnium		MATCHED
Mnium lycopodioides Schwägr.	Mnium lycopodioides	Mnium		MATCHED
Mnium marginatum (Dicks.) P. Beauv.	Mnium marginatum	Mnium		MATCHED
Mnium spinosum (Voit) Schwägr.	Mnium spinosum	Mnium		MATCHED
Mnium spinulosum Bruch &amp; Schimp.	Mnium spinulosum	Mnium		MATCHED
Mnium stellare Hedw.	Mnium stellare	Mnium		MATCHED
Mnium thomsonii Schimp.	Mnium thomsonii	Mnium		MATCHED
Moehringia muscosa L.	Moehringia muscosa	Moehringia		MATCHED
Moehringia trinervia (L.) Clairv.	Moehringia trinervia	Moehringia		MATCHED
Moenchia erecta (L.) Gaertn., Mey. &amp; Scherb.	Moenchia erecta	Moenchia	17	MATCHED
Moerckia flotoviana (Nees) Schiffn.	Moerckia flotoviana	Moerckia		MATCHED
Moerckia hibernica (Hook.) Gottsche	Moerckia hibernica	Moerckia	14	MATCHED
Molendoa hornschuchiana (Hook.) Limpr.	Molendoa hornschuchiana	Molendoa	13	MATCHED
Molinia caerulea (L.) Moench [s.l.]	Molinia caerulea	Molinia		MATCHED
Moneses uniflora (L.) A. Gray	Moneses uniflora	Moneses		MATCHED
Montia fontana L. [s.l.]	Montia fontana	Montia	17	MATCHED
Morus alba L.	Morus alba	Morus		MATCHED
Morus nigra L.	Morus nigra	Morus		MATCHED
Muhlenbergia schreberi J. F. Gmel.	Muhlenbergia schreberi	Muhlenbergia		MATCHED
Muscari botryoides (L.) Mill.	Muscari botryoides	Muscari	13	MATCHED
Muscari neglectum Guss. ex Ten.	Muscari neglectum	Muscari	13	MATCHED
Myagrum perfoliatum L.	Myagrum perfoliatum	Myagrum		MATCHED
Mycelis muralis (L.) Dumort.	Mycelis muralis	Mycelis		MATCHED
Mylia anomala (Hook.) Gray	Mylia anomala	Mylia	12	MATCHED
Myosotis alpestris F. W. Schmidt	Myosotis alpestris	Myosotis		MATCHED
Myosotis arvensis (L.) Hill	Myosotis arvensis	Myosotis		MATCHED
Myosotis discolor Pers.	Myosotis discolor	Myosotis	12	MATCHED
Myosotis laxa Lehm.	Myosotis laxa	Myosotis		MATCHED
Myosotis ramosissima Rochel ex Schult.	Myosotis ramosissima	Myosotis		MATCHED
Myosotis scorpioides L.	Myosotis scorpioides	Myosotis		MATCHED
Myosotis stricta Link ex Roem. &amp; Schult.	Myosotis stricta	Myosotis		MATCHED
Myosotis sylvatica Ehrh. ex Hoffm.	Myosotis sylvatica	Myosotis		MATCHED
Myosurus minimus L.	Myosurus minimus	Myosurus	13	MATCHED
Myricaria germanica (L.) Desv.	Myricaria germanica	Myricaria	12	MATCHED
Myriophyllum aquaticum (Vell.) Verdc.	Myriophyllum aquaticum	Myriophyllum	5	MATCHED
Myriophyllum spicatum L.	Myriophyllum spicatum	Myriophyllum	13	MATCHED
Myriophyllum verticillatum L.	Myriophyllum verticillatum	Myriophyllum	13	MATCHED
Myrrhis odorata (L.) Scop.	Myrrhis odorata	Myrrhis		MATCHED
Myrtus communis L.	Myrtus communis	Myrtus	13	MATCHED
Myurella julacea (Schwägr.) Schimp.	Myurella julacea	Myurella		MATCHED
Myurella sibirica (Müll. Hal.) Reimers	Myurella sibirica	Myurella		MATCHED
Myurella tenerrima (Brid.) Lindb.	Myurella tenerrima	Myurella	14	MATCHED
Najas marina L. [s.l.]	Najas marina	Najas	13	MATCHED
Najas minor All.	Najas minor	Najas	13	MATCHED
Narcissus poeticus L. [s.l.]	Narcissus poeticus	Narcissus	25	MATCHED
Narcissus pseudonarcissus L.	Narcissus pseudonarcissus	Narcissus		MATCHED
Nardia geoscyphus (De Not.) Lindb.	Nardia geoscyphus	Nardia		MATCHED
Nardia scalaris Gray	Nardia scalaris	Nardia		MATCHED
Nardus stricta L.	Nardus stricta	Nardus		MATCHED
Nasturtium microphyllum Boenn. ex Rchb.	Nasturtium microphyllum	Nasturtium	14	MATCHED
Nasturtium officinale R. Br.	Nasturtium officinale	Nasturtium		MATCHED
Neckera pennata Hedw.	Neckera pennata	Neckera		MATCHED
Neckera pumila Hedw.	Neckera pumila	Neckera		MATCHED
Nelumbo nucifera Gaertn.	Nelumbo nucifera	Nelumbo		MATCHED
Neoorthocaulis attenuatus (Mart.) L. Söderstr., De Roo &amp; Hedd.	Neoorthocaulis attenuatus	Neoorthocaulis		MATCHED
Neoorthocaulis floerkei (F. Weber &amp; D. Mohr) L. Söderstr., De Roo &amp; Hedd.	Neoorthocaulis floerkei	Neoorthocaulis	14	MATCHED
Neotinea ustulata (L.) R.M. Bateman, Pridgeon &amp; M.W. Chase	Neotinea ustulata	Neotinea	13, 25, 27	MATCHED
Neottia nidus-avis (L.) Rich.	Neottia nidus-avis	Neottia	25, 27	MATCHED
Nepeta cataria L.	Nepeta cataria	Nepeta		MATCHED
Neslia paniculata (L.) Desv. [s.l.]	Neslia paniculata	Neslia		MATCHED
Nicotiana rustica L.	Nicotiana rustica	Nicotiana		MATCHED
Nicotiana tabacum L.	Nicotiana tabacum	Nicotiana		MATCHED
Nigella arvensis L.	Nigella arvensis	Nigella		MATCHED
Nigella damascena L.	Nigella damascena	Nigella		MATCHED
Nogopterium gracile (Hedw.) Crosby &amp; W. R. Buck	Nogopterium gracile	Nogopterium	14	MATCHED
Nowellia curvifolia (Dicks.) Mitt.	Nowellia curvifolia	Nowellia		MATCHED
Nuphar lutea (L.) Sibth. &amp; Sm.	Nuphar lutea	Nuphar	13	MATCHED
Nyholmiella obtusifolia (Brid.) Holmen &amp; E. Warncke	Nyholmiella obtusifolia	Nyholmiella		MATCHED
Nymphaea alba L.	Nymphaea alba	Nymphaea	13	MATCHED
Nymphoides peltata (S. G. Gmel.) Kuntze	Nymphoides peltata	Nymphoides	13	MATCHED
Ocimum basilicum L.	Ocimum basilicum	Ocimum		MATCHED
Ocimum tenuiflorum L.	Ocimum tenuiflorum	Ocimum		MATCHED
Odontites vernus (Bellardi) Dumort. [s.l.]	Odontites vernus	Odontites		MATCHED
Odontoschisma denudatum (Mart.) Dumort.	Odontoschisma denudatum	Odontoschisma		MATCHED
Odontoschisma fluitans (Nees) L. Söderstr. &amp; Váňa	Odontoschisma fluitans	Odontoschisma	12	MATCHED
Odontoschisma sphagni (Dicks.) Dumort.	Odontoschisma sphagni	Odontoschisma	12	MATCHED
Oenanthe aquatica (L.) Poir.	Oenanthe aquatica	Oenanthe	13	MATCHED
Oenanthe fistulosa L.	Oenanthe fistulosa	Oenanthe	12	MATCHED
Oenanthe lachenalii C. C. Gmel.	Oenanthe lachenalii	Oenanthe		MATCHED
Oenanthe pimpinelloides L.	Oenanthe pimpinelloides	Oenanthe	13	MATCHED
Oenanthe silaifolia M. Bieb.	Oenanthe silaifolia	Oenanthe	13	MATCHED
Oenothera biennis L. [s.str.]	Oenothera biennis	Oenothera		MATCHED
Oenothera glazioviana M. Micheli	Oenothera glazioviana	Oenothera		MATCHED
Olea europaea L. [s.str.]	Olea europaea	Olea		MATCHED
Oligotrichum hercynicum (Hedw.) DC.	Oligotrichum hercynicum	Oligotrichum	14	MATCHED
Omalotheca norvegica (Gunn.) Sch. Bip. &amp; F. W. Schultz	Omalotheca norvegica	Omalotheca		MATCHED
Omalotheca supina (L.) DC.	Omalotheca supina	Omalotheca		MATCHED
Omalotheca sylvatica (L.) C. H. &amp; F. W. Schultz	Omalotheca sylvatica	Omalotheca		MATCHED
Onobrychis viciifolia Scop.	Onobrychis viciifolia	Onobrychis		MATCHED
Ononis arvensis L.	Ononis arvensis	Ononis		MATCHED
Ononis reclinata L.	Ononis reclinata	Ononis	12	MATCHED
Ononis spinosa L.	Ononis spinosa	Ononis		MATCHED
Onopordum acanthium L.	Onopordum acanthium	Onopordum		MATCHED
Onosma visianii Clementi	Onosma visianii	Onosma		MATCHED
Ophrys apifera Huds.	Ophrys apifera	Ophrys	13, 25, 27	MATCHED
Ophrys fusca Link	Ophrys fusca	Ophrys	12, 25, 27	MATCHED
Ophrys holosericea (Burm. f.) Greuter [s. l.]	Ophrys holosericea	Ophrys	13, 25, 27	MATCHED
Ophrys incubacea Bianca	Ophrys incubacea	Ophrys	13, 25, 27	MATCHED
Ophrys insectifera L.	Ophrys insectifera	Ophrys	13, 25, 27	MATCHED
Ophrys sphegodes Mill. [s.str.]	Ophrys sphegodes	Ophrys	13, 25, 27	MATCHED
Oplismenus undulatifolius (Ard.) P. Beauv.	Oplismenus undulatifolius	Oplismenus	14	MATCHED
Orchis mascula (L.) L.	Orchis mascula	Orchis	13, 25, 27	MATCHED
Orchis militaris L.	Orchis militaris	Orchis	13, 25, 27	MATCHED
Orchis purpurea Huds.	Orchis purpurea	Orchis	13, 25, 27	MATCHED
Origanum majorana L.	Origanum majorana	Origanum		MATCHED
Origanum vulgare L. [s.l.]	Origanum vulgare	Origanum		MATCHED
Orlaya grandiflora (L.) Hoffm.	Orlaya grandiflora	Orlaya		MATCHED
Ornithogalum kochii Parl.	Ornithogalum kochii	Ornithogalum		MATCHED
Ornithogalum nutans L.	Ornithogalum nutans	Ornithogalum		MATCHED
Ornithogalum pyrenaicum L.	Ornithogalum pyrenaicum	Ornithogalum		MATCHED
Ornithogalum refractum Kit. ex Schltdl.	Ornithogalum refractum	Ornithogalum		MATCHED
Orobanche alba Steph. ex Willd.	Orobanche alba	Orobanche		MATCHED
Orobanche caryophyllacea Sm.	Orobanche caryophyllacea	Orobanche		MATCHED
Orobanche coerulescens Steph.	Orobanche coerulescens	Orobanche		MATCHED
Orobanche crenata Forssk.	Orobanche crenata	Orobanche		MATCHED
Orobanche elatior Sutton	Orobanche elatior	Orobanche		MATCHED
Orobanche flava Mart. ex F. W. Schultz	Orobanche flava	Orobanche		MATCHED
Orobanche gracilis Sm.	Orobanche gracilis	Orobanche		MATCHED
Orobanche hederae Duby	Orobanche hederae	Orobanche	14	MATCHED
Orobanche lutea Baumg.	Orobanche lutea	Orobanche		MATCHED
Orobanche lycoctoni Rhiner	Orobanche lycoctoni	Orobanche		MATCHED
Orobanche minor Sm.	Orobanche minor	Orobanche		MATCHED
Orobanche picridis F. W. Schultz	Orobanche picridis	Orobanche		MATCHED
Orobanche purpurea Jacq.	Orobanche purpurea	Orobanche	17	MATCHED
Orobanche reticulata Wallr.	Orobanche reticulata	Orobanche		MATCHED
Orobanche salviae F. W. Schultz ex Koch	Orobanche salviae	Orobanche		MATCHED
