ASV,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV302,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
ASV303,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
ASV304,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
ASV306,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV307,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0
ASV310,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
ASV311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
ASV312,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV313,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV314,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
ASV315,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
ASV316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
ASV317,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV318,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ASV319,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
ASV32,0,0,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV320,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
ASV321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
ASV322,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
ASV323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
ASV324,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV325,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV326,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ASV327,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ASV329,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
ASV33,22,210,171,84,0,0,1011,99,96,14,11,0,0,0,0,32,0,0,37,0
ASV330,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
ASV331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0
ASV333,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
ASV334,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
ASV335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
ASV336,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV337,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV338,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
ASV339,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ASV34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0
ASV340,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV341,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
ASV342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
ASV343,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV344,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ASV345,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
ASV346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
ASV347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
ASV35,0,0,0,0,0,0,0,0,0,0,1683,0,0,0,0,0,0,0,0,0
ASV350,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
ASV351,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
ASV352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
ASV353,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV354,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV355,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
ASV356,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
ASV357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ASV358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
ASV359,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ASV36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515,0
ASV360,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
ASV361,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV362,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV364,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV365,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV366,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV367,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ASV368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV37,0,0,0,0,0,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,0
ASV39,0,0,0,0,0,0,0,0,0,0,0,0,1392,0,0,0,0,0,0,0
ASV4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10830,0,0,0,0
ASV40,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV41,0,0,0,0,0,0,0,0,0,1288,0,0,0,0,0,0,0,0,0,0
ASV42,0,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV43,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0
ASV44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0
ASV45,0,0,0,0,0,0,0,0,0,0,0,0,1128,0,0,0,0,0,0,0
ASV46,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,0,0
