"","LME1636","LME1637","LME1656","LME1663","LME1668","LME1670","LME1679","LME1689","LME1692","LME1695","LME1698","LME1701","LME1702","LME1705","LME1708","LME1714"
"ASV299",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,63
"ASV302",0,0,0,0,0,0,0,0,0,12,0,7,6,18,8,14
"ASV303",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV305",0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV306",0,0,0,0,0,39,0,0,0,0,0,0,0,0,25,0
"ASV309",0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
"ASV312",0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV314",0,0,0,0,0,0,0,0,0,10,0,19,4,7,2,20
"ASV315",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV316",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV317",0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV318",0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0
"ASV319",0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0
"ASV320",0,0,0,0,0,0,0,51,10,0,0,0,0,0,0,0
"ASV322",0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"ASV323",0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV325",14,0,12,0,0,12,0,0,0,0,11,0,0,9,0,0
"ASV327",0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV328",0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
"ASV329",0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
"ASV330",57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV334",0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0
"ASV335",28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV338",0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"ASV339",0,0,0,0,26,0,0,0,0,0,0,0,0,0,30,0
"ASV342",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV343",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV347",29,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0
"ASV348",0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV350",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"ASV351",0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"ASV352",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV353",0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV354",0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0
"ASV357",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV358",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV359",0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
"ASV363",0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV364",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV366",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV367",0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV368",0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
"ASV369",0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
"ASV372",0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV373",0,0,0,36,0,0,0,0,0,0,12,0,0,0,0,0
"ASV376",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV377",0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV378",0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
"ASV381",0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0
"ASV382",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,18
"ASV383",11,0,0,0,12,0,0,0,0,0,9,0,13,0,0,0
"ASV384",0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
"ASV391",0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV392",0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"ASV393",0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0
"ASV394",0,0,0,0,32,0,0,0,0,0,0,0,0,12,0,0
"ASV395",0,0,0,0,30,0,0,0,0,0,0,14,0,0,0,0
"ASV396",0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
"ASV397",0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
"ASV400",0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
"ASV401",0,0,0,0,33,0,0,0,0,0,0,0,0,10,0,0
"ASV404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
"ASV406",20,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"ASV408",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV410",0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
"ASV412",0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"ASV415",0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV416",0,0,0,0,0,0,0,0,0,25,16,0,0,0,0,0
"ASV419",0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"ASV423",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV426",0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
"ASV428",0,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0
"ASV434",0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV441",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
"ASV444",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
"ASV445",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0
