ASV_ID,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714
ASV374,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV375,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV376,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV377,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
ASV378,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
ASV379,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
ASV38,0,261,0,374,0,0,0,23,0,0,335,0,0,0,0,0,0,12,0,0
ASV380,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
ASV381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0
ASV382,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,0,0
ASV383,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ASV385,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV386,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV387,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
ASV389,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV390,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
ASV391,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
ASV392,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,0,0
ASV394,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV396,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV397,0,13,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
ASV398,0,11,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
ASV399,0,6,0,0,3,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0
ASV4,0,0,0,0,0,0,0,0,12366,0,0,0,0,0,0,0,0,0,0,0
ASV40,0,0,0,0,0,0,291,0,0,76,0,0,237,0,44,185,0,31,0,0
ASV400,0,3,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
ASV401,0,0,0,18,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
ASV402,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
ASV404,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0
ASV406,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV407,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV408,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
ASV409,0,0,0,0,0,0,0,5,2,0,20,0,0,0,0,0,0,0,0,0
ASV41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,0,0,0
ASV410,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
ASV413,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV414,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV416,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
ASV417,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
ASV418,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0
ASV419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
ASV42,0,32,0,26,0,0,0,0,0,0,766,0,0,0,0,0,0,0,0,0
ASV421,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
