ASV,Strand,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Raw_SINTAX,Accepted_SINTAX
ASV175,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.34,,,Family,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Lamiaceae(1.00),g:Phlomis(0.34)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV177,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,0.99,Pinales,0.99,Pinaceae,0.99,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(0.99),o:Pinales(0.99),f:Pinaceae(0.99),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV18,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.7,,0.23,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.76),f:Rosaceae(0.70),g:Rosa(0.23)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV176,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.45,,0.45,Family,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Lamiaceae(1.00),g:Otostegia(0.45),s:Otostegia_fruticosa(0.45)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV182,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV180,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.21,,0.15,,0.15,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.21),f:Styracaceae(0.15),g:Bruinsmia(0.15)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV178,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.85,Violaceae,0.82,Viola,0.81,,0.24,Genus,0.81,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.85),f:Violaceae(0.82),g:Viola(0.81),s:Viola_hirta(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola"
ASV183,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.55,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.64),f:Primulaceae(0.64),g:Cyclamen(0.55)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV184,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.8,,0.77,,0.75,,,Order,0.8,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.80),f:Juncaceae(0.77),g:Luzula(0.75)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales"
ASV181,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Cupressales,1.0,Cupressaceae,1.0,,0.54,,0.49,Family,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Cupressales(1.00),f:Cupressaceae(1.00),g:Cupressus(0.54),s:Cupressus_sempervirens(0.49)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Cupressales,f:Cupressaceae"
ASV185,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.99,Lamiaceae,0.99,,0.39,,,Family,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.99),f:Lamiaceae(0.99),g:Phlomis(0.39)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV187,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ranunculales,0.99,Ranunculaceae,0.99,Clematis,0.96,,,Genus,0.96,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ranunculales(0.99),f:Ranunculaceae(0.99),g:Clematis(0.96)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Ranunculales,f:Ranunculaceae,g:Clematis"
ASV189,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,1.0,Juncaceae,1.0,Luzula,1.0,Luzula acuminata,0.97,Species,0.97,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(1.00),f:Juncaceae(1.00),g:Luzula(1.00),s:Luzula_acuminata(0.97)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Juncaceae,g:Luzula,s:Luzula_acuminata"
ASV191,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,1.0,Lamiaceae,1.0,,0.46,,0.46,Family,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(1.00),f:Lamiaceae(1.00),g:Otostegia(0.46),s:Otostegia_fruticosa(0.46)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales,f:Lamiaceae"
ASV19,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.75,,0.73,,0.19,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.75),f:Rosaceae(0.73),g:Rosa(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV186,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Ericales,0.84,Primulaceae,0.84,,0.52,,0.49,Family,0.84,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.84),f:Primulaceae(0.84),g:Cyclamen(0.52),s:Cyclamen_purpurascens(0.49)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Ericales,f:Primulaceae"
ASV193,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV2,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.66,,0.16,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.68),f:Rosaceae(0.66),g:Potentilla(0.16)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV196,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.49,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.78),f:Fagaceae(0.78),g:Fagus(0.49)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV202,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.52,,0.51,,0.18,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.52),f:Rosaceae(0.51),g:Spiraea(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV203,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.4,,0.4,,0.26,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Piperales(0.42),f:Asaraceae(0.40),g:Asarum(0.40),s:Asarum_lewisii(0.26)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV199,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.54,,0.54,,0.16,,0.15,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.54),f:Boraginaceae(0.54),g:Omphalodes(0.16),s:Omphalodes_verna(0.15)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV207,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.96,Poaceae,0.91,,,,,Family,0.91,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.96),f:Poaceae(0.91)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Poaceae"
ASV208,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Fabales,0.91,Fabaceae,0.91,,0.35,,0.2,Family,0.91,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fabales(0.91),f:Fabaceae(0.91),g:Vicia(0.35),s:Vicia_pannonica(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Fabales,f:Fabaceae"
ASV198,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.29,,0.14,,0.1,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.41),f:Araliaceae(0.29),g:Hydrocotyle(0.14),s:Hydrocotyle_novae-zealandiae(0.10)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV21,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.71,,0.19,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.73),f:Rosaceae(0.71),g:Rosa(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV210,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.96,Juncaceae,0.96,Luzula,0.96,Luzula acuminata,0.93,Species,0.93,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.96),f:Juncaceae(0.96),g:Luzula(0.96),s:Luzula_acuminata(0.93)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Juncaceae,g:Luzula,s:Luzula_acuminata"
ASV20,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.76,,0.15,,0.1,Order,0.81,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.81),f:Rosaceae(0.76),g:Rubus(0.15),s:Rubus_sp._MS-2022a_(sect._Cuneifolii)(0.10)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Rosales"
ASV188,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.86,Violaceae,0.84,Viola,0.8,,0.19,Genus,0.8,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.86),f:Violaceae(0.84),g:Viola(0.80),s:Viola_hirta(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola"
ASV206,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.31,,0.23,,0.12,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.41),f:Araliaceae(0.31),g:Hydrocotyle(0.23),s:Hydrocotyle_novae-zealandiae(0.12)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV211,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.67,,0.2,,0.2,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.73),f:Rosaceae(0.67),g:Crataegus(0.20),s:Crataegus_saligna(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV212,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.42,,0.35,,0.25,,0.11,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Apiales(0.42),f:Araliaceae(0.35),g:Hydrocotyle(0.25),s:Hydrocotyle_novae-zealandiae(0.11)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV209,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.48,,0.43,,0.25,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.64),f:Betulaceae(0.48),g:Corylus(0.43),s:Corylus_heterophylla(0.25)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV197,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Sapindales,0.93,Sapindaceae,0.93,Acer,0.91,,0.6,Genus,0.91,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Sapindales(0.93),f:Sapindaceae(0.93),g:Acer(0.91),s:Acer_pseudosieboldianum(0.60)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Sapindales,f:Sapindaceae,g:Acer"
ASV217,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.61,,0.22,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.63),f:Rosaceae(0.61),g:Potentilla(0.22)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV22,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.53,,0.38,,0.32,,0.18,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.53),f:Betulaceae(0.38),g:Corylus(0.32),s:Corylus_heterophylla(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV219,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.52,,0.5,,0.3,,0.3,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.52),f:Boraginaceae(0.50),g:Nonea(0.30),s:Nonea_macrosperma(0.30)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV222,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.87,Violaceae,0.86,Viola,0.83,,0.18,Genus,0.83,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.87),f:Violaceae(0.86),g:Viola(0.83),s:Viola_verecunda(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Violaceae,g:Viola"
ASV214,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Fabales,0.9,Fabaceae,0.9,,0.34,,0.34,Family,0.9,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fabales(0.90),f:Fabaceae(0.90),g:Dunbaria(0.34),s:Dunbaria_nivea(0.34)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Fabales,f:Fabaceae"
ASV221,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.7,,0.39,,0.39,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Saxifragales(0.70),f:Grossulariaceae(0.39),g:Ribes(0.39)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV225,+,Eukaryota,1.0,Streptophyta,1.0,Pinopsida,1.0,Pinales,1.0,Pinaceae,1.0,Abies,0.99,,,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Pinopsida(1.00),o:Pinales(1.00),f:Pinaceae(1.00),g:Abies(0.99)","k:Eukaryota,p:Streptophyta,c:Pinopsida,o:Pinales,f:Pinaceae,g:Abies"
ASV216,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.59,,0.59,,0.18,,0.18,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.59),f:Boraginaceae(0.59),g:Omphalodes(0.18),s:Omphalodes_verna(0.18)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV224,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Gentianales,0.98,Rubiaceae,0.97,,,,,Family,0.97,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Gentianales(0.98),f:Rubiaceae(0.97)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Gentianales,f:Rubiaceae"
ASV220,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.56,,0.29,,0.07,,0.02,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.56),f:Euphorbiaceae(0.29),g:Euphorbia(0.07),s:Euphorbia_scheffleri(0.02)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV218,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.62,,,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.65),f:Rosaceae(0.62)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV231,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.36,,0.2,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.57),f:Oleaceae(0.36),g:Ligustrum(0.20)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV215,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.31,,0.12,,0.12,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.57),f:Euphorbiaceae(0.31),g:Croton(0.12),s:Croton_vernicosa(0.12)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV223,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Asparagales,0.92,Iridaceae,0.92,,0.28,,0.13,Family,0.92,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Asparagales(0.92),f:Iridaceae(0.92),g:Lapeirousia(0.28),s:Lapeirousia_pyramidalis(0.13)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Asparagales,f:Iridaceae"
ASV233,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.5,,0.5,,0.24,,0.24,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.50),f:Caprifoliaceae(0.50),g:Scabiosa(0.24),s:Scabiosa_comosa(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV228,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.16,,0.09,,0.05,,0.03,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Asterales(0.16),f:Menyanthaceae(0.09),g:Liparophyllum(0.05),s:Liparophyllum_exiguum(0.03)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV23,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.97,Poaceae,0.96,,,,,Family,0.96,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.97),f:Poaceae(0.96)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Poales,f:Poaceae"
ASV234,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.79,,0.76,,0.39,,0.39,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Ericales(0.79),f:Primulaceae(0.76),g:Cyclamen(0.39),s:Cyclamen_purpurascens(0.39)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV236,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.47,,0.25,,0.05,,0.05,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.47),f:Euphorbiaceae(0.25),g:Croton(0.05),s:Croton_vernicosa(0.05)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV239,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Lamiales,0.8,,0.63,,0.26,,0.26,Order,0.8,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Lamiales(0.80),f:Lamiaceae(0.63),g:Nepeta(0.26),s:Nepeta_tenuifolia(0.26)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Lamiales"
ASV24,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.73,,0.7,,0.24,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.73),f:Rosaceae(0.70),g:Rosa(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV241,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.57,,0.4,,0.36,,0.24,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Fagales(0.57),f:Betulaceae(0.40),g:Corylus(0.36),s:Corylus_heterophylla(0.24)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV243,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.63,,0.63,,0.27,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.63),f:Rosaceae(0.63),g:Rosa(0.27)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV245,-,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.35,,0.27,,0.27,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Dipsacales(0.35),f:Caprifoliaceae(0.27),g:Scabiosa(0.27)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV247,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.55,,0.55,,0.19,,0.19,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Boraginales(0.55),f:Boraginaceae(0.55),g:Omphalodes(0.19),s:Omphalodes_verna(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV229,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Gentianales,0.98,Rubiaceae,0.98,,0.46,,0.27,Family,0.98,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Gentianales(0.98),f:Rubiaceae(0.98),g:Galium(0.46),s:Galium_bungei(0.27)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Gentianales,f:Rubiaceae"
ASV248,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.43,,0.38,,0.14,,0.06,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Poales(0.43),f:Cyperaceae(0.38),g:Carex(0.14),s:Carex_phleoides(0.06)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV25,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.69,,0.69,,0.19,,0.04,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.69),f:Rosaceae(0.69),g:Potentilla(0.19),s:Potentilla_radiata(0.04)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV252,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.48,,0.48,,0.19,,0.12,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.48),f:Rosaceae(0.48),g:Rubus(0.19),s:Rubus_sp._MS-2022a_(sect._Cuneifolii)(0.12)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV242,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.65,,0.61,,0.19,,,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Rosales(0.65),f:Rosaceae(0.61),g:Potentilla(0.19)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV246,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.62,,0.15,,0.15,Class,1.0,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Asterales(0.68),f:Asteraceae(0.62),g:Emilia(0.15),s:Emilia_coccinea(0.15)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida"
ASV235,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Sapindales,0.85,Sapindaceae,0.84,Acer,0.84,,0.55,Genus,0.84,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Sapindales(0.85),f:Sapindaceae(0.84),g:Acer(0.84),s:Acer_pseudosieboldianum(0.55)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Sapindales,f:Sapindaceae,g:Acer"
ASV249,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Malpighiales,0.99,Salicaceae,0.99,Salix,0.99,,0.7,Genus,0.99,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Malpighiales(0.99),f:Salicaceae(0.99),g:Salix(0.99),s:Salix_koriyanagi(0.70)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Malpighiales,f:Salicaceae,g:Salix"
ASV257,+,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Sapindales,0.88,Sapindaceae,0.83,Acer,0.83,,0.56,Genus,0.83,"k:Eukaryota(1.00),p:Streptophyta(1.00),c:Magnoliopsida(1.00),o:Sapindales(0.88),f:Sapindaceae(0.83),g:Acer(0.83),s:Acer_pseudosieboldianum(0.56)","k:Eukaryota,p:Streptophyta,c:Magnoliopsida,o:Sapindales,f:Sapindaceae,g:Acer"
