ASV,Total_reads,LME1634,LME1635,LME1636,LME1637,LME1646,LME1652,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Kingdom,Kingdom_confidence,Phylum,Phylum_confidence,Class,Class_confidence,Order,Order_confidence,Family,Family_confidence,Genus,Genus_confidence,Species,Species_confidence,Accepted_rank,Accepted_confidence,Strand
ASV18,4481,4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.76,,0.7,,0.23,,,Class,1.0,+
ASV180,107,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.21,,0.15,,0.15,,,Class,1.0,+
ASV183,101,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.64,,0.64,,0.55,,,Class,1.0,-
ASV184,101,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Poales,0.8,,0.77,,0.75,,,Order,0.8,+
ASV19,4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4416,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.75,,0.73,,0.19,,,Class,1.0,+
ASV196,84,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.78,,0.78,,0.49,,,Class,1.0,+
ASV198,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.41,,0.29,,0.14,,0.1,Class,1.0,+
ASV199,81,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.54,,0.54,,0.16,,0.15,Class,1.0,+
ASV2,11211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11211,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,,0.68,,0.66,,0.16,,,Class,1.0,+
ASV20,4251,0,0,0,0,0,0,0,0,0,0,0,4251,0,0,0,0,0,0,0,0,Eukaryota,1.0,Streptophyta,1.0,Magnoliopsida,1.0,Rosales,0.81,,0.76,,0.15,,0.1,Order,0.81,+
